# time, vertical, radial, transverse
0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 3.140543033963716462e-26
3.999999910593032837e-02 -0.000000000000000000e+00 0.000000000000000000e+00 -4.668019859543904563e-25
7.999999821186065674e-02 -0.000000000000000000e+00 0.000000000000000000e+00 -7.031183413275244113e-25
1.199999973177909851e-01 -0.000000000000000000e+00 0.000000000000000000e+00 1.212950739848395338e-24
1.599999964237213135e-01 -0.000000000000000000e+00 0.000000000000000000e+00 -1.229136681324405423e-24
1.999999955296516418e-01 -0.000000000000000000e+00 0.000000000000000000e+00 3.961890884807140256e-26
2.399999946355819702e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.244729097571451065e-24
2.799999937415122986e-01 -0.000000000000000000e+00 0.000000000000000000e+00 8.099098058877985293e-25
3.199999928474426270e-01 0.000000000000000000e+00 -0.000000000000000000e+00 -3.202617504527438857e-24
3.599999919533729553e-01 0.000000000000000000e+00 -0.000000000000000000e+00 6.290421517007871850e-24
3.999999910593032837e-01 0.000000000000000000e+00 -0.000000000000000000e+00 -1.446008557337563596e-23
4.399999901652336121e-01 0.000000000000000000e+00 -0.000000000000000000e+00 2.287845468629257178e-23
4.799999892711639404e-01 0.000000000000000000e+00 -0.000000000000000000e+00 -3.407342674677238704e-23
5.199999883770942688e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.533287878416558990e-23
5.599999874830245972e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.339030717417699830e-22
5.999999865889549255e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 6.607883684672799803e-25
6.399999856948852539e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 -4.528946107029697011e-23
6.799999848008155823e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 2.866040205162789826e-23
7.199999839067459106e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 -5.594674234998820087e-23
7.599999830126762390e-01 0.000000000000000000e+00 -0.000000000000000000e+00 1.863133292090424365e-23
7.999999821186065674e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 -7.463425788500899639e-23
8.399999812245368958e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.949621074639253673e-23
8.799999803304672241e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 -4.093570282748260525e-23
9.199999794363975525e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.669081133888084937e-23
9.599999785423278809e-01 -0.000000000000000000e+00 -0.000000000000000000e+00 -1.576501951205955278e-23
9.999999776482582092e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.361120105514146570e-23
1.039999976754188538e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 3.458950104118230464e-23
1.079999975860118866e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.708990151262696909e-23
1.119999974966049194e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 1.048344273613111046e-22
1.159999974071979523e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.510339018295781055e-22
1.199999973177909851e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.726133120882877886e-22
1.239999972283840179e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -1.760022598773503215e-22
1.279999971389770508e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.651407615099742690e-22
1.319999970495700836e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -1.290686242327865427e-22
1.359999969601631165e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.618875486059551251e-23
1.399999968707561493e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -1.200243238130838152e-24
1.439999967813491821e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.251843297557571681e-23
1.479999966919422150e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 1.570965650898870109e-22
1.519999966025352478e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -2.151813873751962326e-22
1.559999965131282806e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.545063750858389940e-22
