# time, vertical, radial, transverse
0.000000000000000000e+00 6.779796990485920675e-23 6.930586238240721997e-23 0.000000000000000000e+00
3.999999910593032837e-02 5.591968843532413917e-23 -7.132624091354955869e-23 0.000000000000000000e+00
7.999999821186065674e-02 -2.588663328140228319e-23 1.003493377282893646e-23 0.000000000000000000e+00
1.199999973177909851e-01 2.277746524725899006e-23 1.527515003374446914e-23 0.000000000000000000e+00
1.599999964237213135e-01 5.096312705177297398e-23 6.852737044482637915e-23 0.000000000000000000e+00
1.999999955296516418e-01 4.001936915187798378e-23 4.761176342071849604e-24 0.000000000000000000e+00
2.399999946355819702e-01 3.830091088730114795e-23 -3.753714494791893333e-23 0.000000000000000000e+00
2.799999937415122986e-01 3.755677990824324502e-24 -9.934882250206557297e-24 0.000000000000000000e+00
3.199999928474426270e-01 4.861827562763210582e-23 9.027047553900047516e-24 0.000000000000000000e+00
3.599999919533729553e-01 1.578362152088175456e-23 -5.564881533359766728e-23 0.000000000000000000e+00
3.999999910593032837e-01 3.680893101432048239e-23 6.799459839612610143e-23 0.000000000000000000e+00
4.399999901652336121e-01 5.925971890974324988e-23 -3.905869405684825381e-23 0.000000000000000000e+00
4.799999892711639404e-01 -1.036874142101851292e-23 6.933551954801941798e-24 0.000000000000000000e+00
5.199999883770942688e-01 1.585281239613323163e-23 -5.990263840516263699e-24 0.000000000000000000e+00
5.599999874830245972e-01 -1.298229079793600313e-23 3.688336747131871134e-23 0.000000000000000000e+00
5.999999865889549255e-01 1.498702602020785081e-22 7.630964660165774006e-23 0.000000000000000000e+00
6.399999856948852539e-01 -1.035937557958277559e-22 8.701024789559142479e-24 0.000000000000000000e+00
6.799999848008155823e-01 2.312365126044824356e-22 -5.819542181484393950e-23 0.000000000000000000e+00
7.199999839067459106e-01 -4.584892394632334262e-22 8.546127361341861010e-23 0.000000000000000000e+00
7.599999830126762390e-01 -3.246349322694186401e-23 2.274136789992553769e-22 0.000000000000000000e+00
7.999999821186065674e-01 1.899450374764910652e-23 2.525229945149476639e-22 0.000000000000000000e+00
8.399999812245368958e-01 3.077781514093658505e-22 2.445122788685694445e-22 0.000000000000000000e+00
8.799999803304672241e-01 -1.660531410152543828e-22 2.821053044499422059e-22 0.000000000000000000e+00
